property_id,description.sold_price,description.baths,description.garage,description.stories,description.beds,description.type,location.address.postal_code,location.address.coordinate.lon,location.address.coordinate.lat,location.address.city,location.address.state_code,location.county.name,property.sqft,property_age,basement,central_air,community_outdoor_space,community_security_features,dining_room,dishwasher,fireplace,forced_air,garage_1_or_more,garage_2_or_more,hardwood_floors,laundry_room,recreation_facilities,shopping,single_story,two_or_more_stories,washer_dryer,city_mean_sale_price
5987805225,12.301387370778713,1.0,0.0,2.0,3.0,duplex_triplex,8629,-74.737875,40.216277,Trenton,NJ,Mercer,7.601402334583733,105.0,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,1,12.161837685474785
1979281750,13.335862167174314,3.0,3.0,2.0,3.0,single_family,98512,-122.953048,47.034022,Olympia,WA,Thurston,9.85434982797458,47.0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,0,1,0,13.099946485895329
1355447303,13.119360874400073,2.0,2.0,1.0,3.0,single_family,97304,-123.105932,44.966721,Salem,OR,Polk,9.765661235628725,44.0,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,0,0,12.920203277032849
4138728469,12.691583538230217,3.0,2.0,2.0,4.0,single_family,40601,-84.792098,38.181983,Frankfort,KY,Franklin,9.087494541977337,31.0,1,0,1,0,1,1,1,0,1,1,1,1,0,0,0,1,0,12.489348436729408
8248639951,10.12667110305036,1.0,0.0,0.0,2.0,single_family,50315,-93.612436,41.53031,Des Moines,IA,Polk,8.874168090363968,108.0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,12.32388571440559
9491336986,13.132315688453556,3.0,2.0,2.0,4.0,single_family,19904,-75.636594,39.224017,Dover,DE,Kent,10.681917533624532,26.0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,12.663812781653967
6855882216,12.388398368982115,3.0,0.0,2.0,3.0,townhomes,30349,-84.513444,33.635444,Atlanta,GA,Fulton,7.68662133494462,22.0,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,1,1,13.191588795587576
2196140521,13.038983942375959,3.0,1.0,2.0,2.0,condos,95818,-121.509268,38.561661,Sacramento,CA,Sacramento,6.542471960506805,8.0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,13.13856380733656
7470908627,11.461642696843066,1.0,0.0,1.0,3.0,single_family,73129,-97.493213,35.423268,Oklahoma City,OK,Oklahoma,8.849513965486398,65.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12.321380875347504
7778206066,12.06047445534465,1.0,0.0,0.0,2.0,single_family,50313,-93.632297,41.629134,Des Moines,IA,Polk,8.59452453435256,104.0,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,12.32388571440559
